,Charity name,Income,overview,what_it_does,email,website
55,fairfield farm trust,5382918,fairfield farm trust (also known as fairfield farm college) is an independent specialist college for students with learning disabilities.  students live in one of our four residential care homes close to the college site.  the charity also offers supported employment to a small number of people with disabilities via partnership agreements.,children/young people,kate.durrant@ffc.ac.uk,www.ffc.ac.uk 
56,signhealth,5387648,"signhealth aims to improve healthcare & access to health services for deaf people. as well as campaigning, research & health promotion, we provide supported living schemes and outreach for deaf people with mental health problems. we provide a national advocacy & counselling service and support for deaf victims of domestic abuse.",people with disabilities,info@signhealth.org.uk,www.signhealth.org.uk 
57,the british ecological society,5390000,the british ecological society is a scientific society for all those interested in ecology. our vision is to advance ecology and make it count. we achieve this by developing ecological science and scientists; improving the quality of education and capacity building; promoting the use of ecological science and building collaborative partnerships.,other defined groups,hello@britishecologicalsociety.org,www.britishecologicalsociety.org 
58,kingshott school trust limited,5392396,"the school is an educational charity for children, which benefits the public byproviding a first class education, independent of the state system. social skills feature strongly in the schools culture. we offer an environment where each pupil can develop and fulfill his or her potential, in order to help build self confidence and a desire to contribute to the wider community.",children/young people,bursar@kingshottschool.com,www.kingshottschool.co.uk 
59,purley park trust limited,5393959,"purley park trust provides residential care, supported living, domiciliary care and day services for adults with learning disabilities, dementia and acquired brain injury, many of whom have complex needs and other disabilities.  it is registered with the care quality commission as a registered residential care provider and a domiciliary care agency.",people with disabilities,larryg@purleyparktrust.org,www.purleyparktrust.org 
60,the nuffield foundation,5406000,"the advancement of social well being, particularly by scientific research. we do this in two ways: by supporting research, enquiry and innovative development that will contribute to the improvement of policy and practice; and by supporting young people to develop their interest in science, technology, engineering and maths (stem).",general charitable purposes,info@nuffieldfoundation.org,http://www.nuffieldfoundation.org 
61,barca - leeds,5408424,"barca-leeds is a community based charity limited by company guarantee. weare an organisation that delivers transformational services to adults, children,young people and families in leeds, bringing people and services together tobetter respond to the needs of each individual.",children/young people,reception@barca-leeds.org,www.barca-leeds.org 
62,institute of biomedical science,5412474,the institute of biomedical science (ibms) is the professional body for biomedical scientists in the united kingdom.  it aims to promote and develop the role of biomedical science within healthcare to deliver the best possible service for patient care and safety.,other defined groups,mail@ibms.org,http://www.ibms.org 
63,skills and education group,5420785,"to promote and support excellence in the post-14 learning and skills sector through partnership, professional development and regional representation services",other defined groups,marketing@skillsedugroup.co.uk,www.skillsandeducationgroup.co.uk 
64,incorporated council of law reporting for england and wales,5433826,"the preparation and publication, in a convenient form, at a moderate price, and under gratuitous professional control, of [the law] reports of judicial decisions of the superior and appellate courts in england and wales",other defined groups,enquiries@iclr.co.uk,www.iclr.co.uk 
65,lewisham nexus service,5442477,lewisham nexus service supports people with learning disabilities and complex needs to live in their community in the borough of lewisham,people with disabilities,mich.jewell@aurora-nexus.org,www.aurora-nexus.org 
66,york house school trust limited,5446635,to provide co-educational preparatory education and a nursery. we have a strong academic tradition with an impressive standard of pastoral care and are committed to the advancement of education. we also  use and develop the unique countryside setting of the school to educate pupils with new life-skills and knowledge whilst maintaining the charitys listed building .,children/young people,yhsoffice@york-house.com,www.york-house.com 
67,newground together,5468032,in june 2013 the charity became a member of the together housing group and amended its objects as follows to reflect this new position in the north of england:1. conservation of the natural environment  2. urban and rural regeneration 3. provision of recreation and leisure with the aim of improving conditions of life  4. advance the life chances of young people 5. advance education and training.,children/young people,lindsay.westwell@newground.co.uk,www.newgroundtogether.co.uk 
68,leicestershire independent educational trust,5472816,to provide education for children of both sexes between the ages of 3 and 18,children/young people,bursar@dixie.org.uk,www.dixie.org.uk 
69,weston hospicecare limited,5519472,"to provide the best in palliative care by providing an appropriate and comfortable environment, well trained and sensitive staff to address the needs of patients and those around them. we work closely with colleagues in the primary care and hospital settings. innovative practice is important to the hospice and we look forward to developing end of life programmes to embrace a range of diseases.",elderly/old people,info@westonhospicecare.org.uk,www.westonhospicecare.org.uk 
70,gateways educational trust limited,5527992,the provision of a day school for educating girls and boys aged from 2 to 18.,children/young people,info@gatewaysschool.co.uk,www.gatewaysschool.co.uk 
71,fordham university uk charitable trust,5528127,the fordham university uk charitable trusts (formerly mlc charitable trust) primary objective is to provide education for american college students in england and europe and for such other charitable purposes as the trustee may in its discretion think fit.,children/young people,msimmons22@fordham.edu,https://www.fordham.edu/info/24623/london_centre 
72,queenscourt hospice,5546013,provide specialist palliative care free of charge to adults with a serious and life limiting illness. to promote the practice of palliative care by example and by teaching and training.,people with disabilities,hospice@queenscourt.org.uk,www.queenscourt.org.uk 
73,chesham preparatory school trust limited,5566455,"chesham prep is a day school for boys and girls aged 3 to13 years and seeks to benefit the public through the pursuit of its stated aims to maintain a high academic standard and also encourage skills in all academic as well as art, design & technology, music, drama and sport. children are prepared for entry into county secondary schools and to the independent schools sector.",children/young people,chughes@cheshamprep.co.uk,www.cheshamprep.co.uk 
74,parkhaven trust,5566630,"the charity provides a range of services to support people through the provision of residential care, nursing, domiciliary care and daycare for older people and people with dementia and learning and physical disabilities.the trust also provides training opportunities for staff and carers.",elderly/old people,kate.randall@parkhaven.org.uk,www.parkhaven.org.uk 
75,wiltshire wildlife trust limited,5571816,"working to create living landscapes across wiltshire, to lead and support the transition of society towards more sustainable living, to ensure our work is based on sound knowledge and evidence and use this to influence and inform decisions by others and to be widely recognised and respected for our work and to grow our resources and increase support for our mission.",children/young people,info@wiltshirewildlife.org,www.wiltshirewildlife.org 
76,abbeyfield southern oaks,5574361,"to provide accommodation, care and companionship for lonely or frail elderly people in accordance with the aims and principles of the abbeyfield society.",elderly/old people,admin@abbeyfieldsouthernoaks.org,www.abbeyfieldsouthernoaks.org 
77,british small animal veterinary association,5594247,"the bsava exists to promote excellence in small animal practice through education and science. the association was founded in 1957 as a professional body for veterinary surgeons who treat companion animals. the majority of its members work in practice, and represent over a third of the working veterinary surgeons in the uk.",other charities or voluntary bodies,administration@bsava.com,www.bsava.com 
78,the electrical safety council,5624745,"the electrical safety council is an independent charity committed to helping people protect themselves and their families from faulty, damaged, substandard and poorly maintained electrical installations and products",children/young people,enquiries@electricalsafetyfirst.org.uk,http://www.electricalsafetyfirst.org.uk 
79,expect ltd,5627323,support people with mental health and learning disabilities,elderly/old people,enquiries@expect-excellence.org,www.expect-excellence.org 
80,positive steps oldham,5630079,"as an independent sector organisation, pso is unique in england in the way it provides a range of integrated support services for young people. its organisational mission is:to provide an integrated range of advice, information, guidance and support services which enable all individuals in oldham and neighbouring boroughs to realise their full potential in work and life.",children/young people,info@positive-steps.org.uk,www.positive-steps.org.uk 
81,blackheath prep,5632080,"to provide academic excellence for pupils aged 3 to 11, whilst allowing pupils to benefit from our extra-curricular programme.",children/young people,info@blackheathprepschool.com,www.blackheathprepschool.com 
82,turning tides homelessness,5632854,"relief of poverty by the provision of emergency and other accommodation, advice and assistance for persons who are deemed homeless and/or in need of such accommodation, advice or assistance.",people with disabilities,info@turning-tides.org.uk,http://www.turning-tides.org.uk/ 
83,musicians benevolent fund,5636000,the musicians benevolent fund relieves need amongst professional musicians and their dependants and advances musical education for young musicians.,general charitable purposes,secretariat@helpmusicians.org.uk,www.helpmusicians.org.uk 
84,humberside engineering training association limited,5641417,"humberside engineering training association (heta) ltd delivers a range of engineering training to children, young people and adults, including workshop taster sessions, advanced & higher apprenticeships, hnc, hnd and workforce skills development training.",children/young people,info@heta.co.uk,www.heta.co.uk 
85,st michael's hospice(north hampshire),5646254,"st michaels hospice was established to meet the needs of persons of either sex (without regard to race or creed) with active, progressive and advanced illness, by the provision of specialist palliative care.  to promote the highest quality of life for patients with continued support for their families and carers and to ensure that sufficient resources are always available for this purpose.",children/young people,info@stmichaelshospice.org.uk,www.stmichaelshospice.org.uk 
86,cumnor house school trust,5678682,the charitys principal objective is that of the advancement of education in the united kingdom.,children/young people,office@cumnor.co.uk,www.cumnor.co.uk 
87,action housing and support limited,5683456,our charitable activities focus on tenancy sustainment and the move to resettlement and independence for our client group.  support is provided to individuals within their own communities by allocating individually assessed contact hour packages of housing related support. assessments are done using a multi-agency approach. services are adapted to meet need.,other defined groups,info@actionorg.uk,www.actionorg.uk 
88,beaconsfield educational trust ltd,5688334,"the aim of the charity is the provision of education at davenies school, beaconsfield. the schools policy is to attain high academic standards, whilst encouraging the boys to benefit from a wide range of curricular and extra-curricular activities. the aim is to prepare the boys fully for the senior school of their choice whether in the independent or state sector.",children/young people,office@davenies.co.uk,www.davenies.co.uk 
89,glendower school trust limited,5691287,"glendower school trusts main activity continues to be the operation of a day school for 4-11 year old girls. the aim of the school is not only to teach the children, but to stimulate their curiosity, imagination and competitive spirit and to develop their critical thinking skills.",children/young people,bursar@glendowerprep.org,www.glendowerprep.org 
90,we change lives (wcl),5696787,"warrington community living seeks to support people with learning disabilities, older people and people experiencing mental health issues to lead their lives in a purposeful, healthy and enjoyable way as full and equal members of their local community. we do this through the provision of residential homes and supported living schemes as well as other forms of support in the community.",children/young people,hello@wcliving.org.uk,www.wcliving.org.uk 
91,aquarius action projects,5705928,"aquarius works with individuals, families, carers and professionals around issues of alcohol misuse, drug misuse, gambling and other behavioural problems.  we have services across the midlands and the northern home counties.  our skilled practitioners and support workers offer education, training, outreach, home visits, one to one & group work.",children/young people,headoffice@aquarius.org.uk,www.aquarius.org.uk 
92,denbighshire education foundation,5722119,the charity shall be for the provision and conduct in or near ruthin of a day and boarding school for boys and girls.,children/young people,bursar@ruthinschool.co.uk,http://www.ruthinschool.co.uk 
93,papplewick educational trust limited,5738168,the charitys aim is the provision of education for boarding and day students within an environment where each pupil can achieve his potential.,children/young people,sburrows@papplewick.org.uk,www.papplewick.org.uk 
94,town close educational trust ltd,5746958,the education of children,children/young people,bursar@townclose.com,www.townclose.com 
95,kingsway clc trust,5769301,to advance the christian faith through the production and distribution of books and music and educational events.,children/young people,sales@kingswayclctrust.com,http://www.kingswayclctrust.com 
96,rikkyo school in england trust,5785251,"the education in accordance with the christian principles of the church of england and the holy catholic church of japan of boys and girls aged 10 to 18 to the standards required for entry into universities in japan, whilst taking advantage of the unique geographical location of the school through extra-curricular activities, both academic and sporting.",children/young people,eikoku@rikkyo.uk,www.rikkyo.co.uk 
97,british home and hospital for incurables,5788669,"british home provides specialist nursing care and rehabilitation to people living with neuro-disability. this includes both short and long-term rehabilitation, respite care and palliative care for those with degenerative illness.",people with disabilities,enquiries@britishhome.org.uk,www.britishhome.org.uk 
98,milton keynes community foundation limited,5798052,"we are a local independant grant making charity.  we raise funds  by obtaining donations from individuals and companies. local charities and community groups apply for grants to support their charitable activities in milton keynes. via our subsidiary company, mk community properties ltd, we provide local voluntary and community organisations with accomodation at a subsidised rate.",general charitable purposes,info@mkcommunityfoundation.co.uk,www.mkcommunityfoundation.co.uk 
99,walhampton school trust ltd.,5831617,"walhampton is a co-educational boarding and day school for pupils between the ages of 2 and 13 situated in lymington, on the edge of the new forest. the schools aim is to cultivate the intellectual, cultural, spiritual, social and physical faculties of our pupils, empowering each child to achieve his or her optimum potential.",children/young people,office@walhampton.com,www.walhampton.com 
